IsOption,DialogueID,Character,PicturePosition,Content,JumpToID
D,0,旁白,left,凯特琳区已经不再像平常那般忙碌了，取而代之的是可怕的寂静。,1
D,1,旁白,left,吉罗走在曾是都城工业骄傲的大街上，远处还能时不时的听到一些哀嚎。他甚至无法区分那些叫声是出自人类还是怪物。,2
D,2,旁白,left,整个凯特琳区因为电力中断而停止运作。这些在夜晚也不曾歇息的工厂现在却统统陷入了沉睡。,3
D,3,旁白,left,突然，一个巨大的木箱从旁边一个厂房里飞出。重重的砸在了吉罗面前几米的位置上。,4
D,4,旁白,left,吉罗看向那边，只见一只长着对黑色煜翅的黑色豹子喘着粗气从厂房里慢慢走出。,5
D,5,旁白,left,那豹子没有双眼，两只耳朵却生的又长又尖。,6
D,6,旁白,left,它缓步朝吉罗走去，最终还叼着一个人。那人四肢自然下垂，显然已没了生气。,7
D,7,旁白,left,吉罗刚抬起枪，那豹型怪物立马就察觉到了声音。朝着吉罗大吼一声，一跃至半空，展开双翼，朝吉罗滑翔而来………,8
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
