IsOption,DialogueID,Character,PicturePosition,Content,JumpToID
D,0,旁白,left,入夜了,1
D,1,旁白,left,吉罗从恍惚中醒来。之前的一战让他筋疲力尽。他躲在一个办公桌下休息了一会儿。,2
D,2,旁白,left,他拿出怀表，借着怀表自己发出的微弱光亮确认了下时间。他并没休息太久。今天天黑的速度出奇的快。,3
D,3,旁白,left,吉罗不得不打开护目镜旁的头灯来帮助自己看清道路。这是圣休瑞达政府大楼的一楼。,4
D,4,旁白,left,整栋大楼已经人去楼空，想必是官员们早已经疏散到了皇家区，那里有最精锐的士兵作保护。,5
D,5,旁白,left,伴随着沉重的开门声，吉罗来到了政府会议厅。,6
D,6,旁白,left,这是个圆形大厅，弧形的桌子从大厅内规律的摆放至大厅的墙边，由一张张弧形桌子把大厅分成了四个同心圆。,7
D,7,旁白,left,平日里政府官员们在这里开会时，上级会坐内圈，而下级会坐在外侧的座位上。,8
D,8,旁白,left,吉罗忽感后脑勺一阵凉风，他本能地向前一探身，然后立马回头观察。,9
D,9,旁白,left,有什么东西只留下一阵骚动，但灯光照处并没有东西。,10
D,10,吉罗,right,这东西很快！,11
D,11,旁白,left,吉罗心里想道。,12
D,12,旁白,left,他端起虹吸枪，用自己身上每一个毛孔去感知身旁的异动…..,13
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
