IsOption,DialogueID,Character,PicturePosition,Content,JumpToID
D,0,旁白,left,"这是一把虹吸枪的原型机。它在测试中表现不佳,只被用来过向警备局进行武器介绍。那之后就一直放在这里吃灰。",1
D,1,旁白,left,"但那怪物突然一阵惨叫。开始在地上不停挣扎。就在刚才吉罗扣下扳机的瞬间,有一股紫色的烟被抽离了怪物的身体。",2
D,2,旁白,left,"吉罗低头一看,虹吸枪的两个储能仓中的其中一个已经被那种不知名的紫色烟雾灌满。",3
D,3,旁白,left,"吉罗灵机一动,把枪的模式调整到发射,又扣下了扳机。只见一束紫色的光线忽然射出,直接击穿了正在挣扎的怪物。",4
D,4,旁白,left,光束在那生物的腹部留下了一个大洞。那怪物当即就没了动静。,5
D,5,旁白,left,"吉罗瘫坐在地,衣服已经被冷汗浸湿。他怔怔的看着手上那把虹吸枪原型机,不知道是为什么,它好像可以抽出那些怪物体内的某种物质,而这种物质又可以对怪物造成致命伤害。",6
D,6,旁白,left,"门外传来了更多嘶吼声,应该是有更多怪物进入了大楼。吉罗站起身,他不想这样坐以待毙。他拿起那把原型机,大步走了出去............",7
D,7,旁白,left,“这把枪看来有点用，虽然还搞不清楚它是怎么把那些紫东西吸进去的。” 吉罗一边快步走下楼梯，一边在心里想着。,8
D,8,旁白,left,转眼间，吉罗已经走到了大街之上。他脑袋里不断回想着刚才大教堂发生的那些诡异事情。既然那怪物是从教堂来的，那解决这一切的办法一定就在那里。,9
D,9,旁白,left,吉罗提了提肩上的背包带。在这个包里装着吉罗实验室里拿出的各种小零件，有一些装置甚至还是处于最初的设计阶段。,10
D,10,旁白,left,但吉罗没去想太多，一切看起来可以帮助他增幅武器或者保护自己的东西他都一股脑拿上了。,11
D,11,旁白,left,一声尖叫打断了他的步伐。就在他刚转过来的这个街角不远处，有一个女子正在惊恐地抱着自己的孩子一步步退向墙壁。有一个长着牛头的巨大怪物正向这对母子移动。,12
D,12,旁白,left,吉罗立马抬起他的虹吸枪，对准那怪物扣下了扳机。那怪物身体抖动一下。那熟悉的紫色烟雾又被吸进了枪中。吉罗毫不犹豫，切换模式又把那吸收来的物质打了出去。,13
D,13,旁白,left,但这次却不同，那束紫光并没像之前那样穿透怪物身体。只是把那牛头巨物打退了几米。那怪物吃了痛，怔了几秒便朝着吉罗冲来。,14
D,14,吉罗,left,果然没那么简单！,15
D,15,旁白,left,吉罗看着已经趁机逃入旁边楼中的母女背影，暗自说道。,16
D,16,吉罗,left,好吧，丑八怪！,17
D,17,吉罗,left,让你看看公国里最伟大发明家是如何战斗的！！！,18
D,18,旁白,left,他无畏的站在怪物冲锋的路径上。一只手伸向了自己的背包……..,19
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
,,,, ,
