IsOption,DialogueID,Character,PicturePosition,Content,JumpToID
D,0,旁白,right,啊！,1
D,1,旁白,left,噩梦惊醒。吉罗还躺在通往大教堂的阶梯上。,2
D,2,旁白,left,修士的身体断成两节，躺在楼梯底部，空洞的双眼紧盯着天空。,3
D,3,旁白,left,吉罗之前的最后一击打中修士时，他的身体从腰部断裂，一阵混杂着魔力的冲击波把吉罗击退。之后他便昏了过去。,4
D,4,旁白,left,吉罗关掉了头灯。此时的天已经微微亮了。晨曦的阳光照耀着大教堂的顶部，那反光刺眼的让吉罗无法直视。,5
D,5,旁白,left,他收好地上掉落的武器设备，艰难地收拾好背包。之后便一阶一阶爬上楼梯，走向教堂。,6
D,6,旁白,left,教堂的大门虽然紧紧关着，但门上有一个巨大的洞。不禁让吉罗联想到之前街角遇到的那个牛头巨怪，不知道这样体型的怪物到底还有多少跑到了城里。,7
D,7,旁白,left,吉罗径由那个洞走进了教堂，眼前的一幕让经历了这一天的他还是被冲击到了。,8
D,8,旁白,left,只见教堂里横七竖八躺着全是尸体，全是教堂里的神职人员。他们还保持着生前惊恐地表情，眼睛变成了两个漆黑的黑洞。,9
D,9,旁白,left,而在教堂的讲台旁，站着的是大主教兰道尔。,10
D,10,兰道尔,right,哦，是吉罗。兰福德看来没能在广场上挡住你。,11
D,11,吉罗,right,主教。,12
D,12,旁白,left,吉罗语气中夹杂着愤怒。,13
D,13,吉罗,right,你能解释下这一切吗？,14
D,14,兰道尔,right,呵呵呵，吉罗啊。,15
D,15,旁白,left,兰道尔露出一阵诡异的笑容。,16
D,16,兰道尔,right,我们公国的大红人。可惜你导师没能看到今天。,17
D,17,吉罗,right,我师导师？前院长他…,18
D,18,兰道尔,right,他是叛徒！,19
D,19,旁白,left,兰道尔突然瞪大双眼，大声打断吉罗的话。,20
D,20,兰道尔,right,他是异教徒！是恶魔！是公国的敌人！,21
D,21,旁白,left,他开始歇斯底里，长袍抖开的瞬间，吉罗看到了一些扭曲的肢体，在袍子下蠕动。吉罗下意识地握紧了虹吸枪。,22
D,22,兰道尔,right,都是他！还有你！你们的那些什么所谓的发明！它们把人民带上了一条地狱之路！,23
D,23,旁白,left,兰道尔继续嘶吼道。,24
D,24,兰道尔,right,公国人民已经远离了主的庇佑。曾几何时，每当晨曦之时，教堂的金顶把主的恩赐散播到每个朝圣的人身上。现在呢？不再有人为主修神龛，不再有人为主做祷告….,25
D,25,旁白,left,大主教突然将红袍扔到一旁。,26
D,26,旁白,left,无数只干枯手臂组成的下半身显露在吉罗面前。那些手有的撑地，有的则是拿着各种法器，上面缠绕着不祥的紫黑色烟雾。,27
D,27,兰道尔,right,虔诚的信徒在此地献上了他们的灵魂，让我来降下天罚！而你，罪人吉罗！让主的拥抱来裁决你的罪行吧！！！,28
